cat_id,ROG
10,0.6986
11,0.954
12,0.954
13,1
14,0.954
15,0.7536
16,0.6195
17,0.656
18,0.955
19,0.656
20,1
21,0.6986
22,0.6986
23,0.945
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,0.6986
34,0.6986
35,0.6986
36,0.6986
37,0.6986
38,1
39,0.6986
40,0.6986
41,0.6986
42,0.6986
43,0.8311
44,0.8311
45,0.6986
46,0.8745
47,0.6986
48,0.6388
49,0.262
50,1
51,0.014
52,0.8689
53,0.6986
54,0.6986
55,0.954
56,1
57,0.954
58,0.954
59,1
60,0.954
61,0.012
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,0.948
85,0.6986
86,0.885
87,0.885
88,0.885
89,1
90,1
91,0.6986
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,0
101,1
102,0.6
103,0
104,1
105,0
106,0
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,0.9599
116,1
117,0.868
118,0.945
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,0.613
128,1
129,1
130,1
131,1
132,1
133,1
134,0.929
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,0.9444
167,0.9444
168,0.9444
169,0.9444
170,0.9444
171,0.9444
172,0.9444
173,0.9444
174,0.9444
175,0.9444
176,0.9444
177,0.9444
178,0.9444
179,0.9444
180,0.9444
181,0.9444
182,0.9444
183,0.9444
184,0.9444
185,0.9444
186,0.9444
187,0.9444
188,0.9444
189,0.9444
190,0.9444
191,0.9444
192,0.9444
193,0.9444
194,0.9444
195,0
196,0.968
197,0.986
198,0.9444
199,0.9444
200,0.9444
201,0.9444
202,0.01
